




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.12173881 Released 2024-06-17
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	Drosophila melanogaster (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Drosophila melanogaster - REFLIST (13821)	upload_1 (1920)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
positive regulation of apoptotic process (GO:0043065)	66	24	9.17	+	2.62	3.98E-06	3.35E-05
regulation of apoptotic signaling pathway (GO:2001233)	33	12	4.58	+	2.62	1.04E-03	5.11E-03
ribonucleoside diphosphate metabolic process (GO:0009185)	33	12	4.58	+	2.62	1.04E-03	5.11E-03
insulin receptor signaling pathway (GO:0008286)	33	12	4.58	+	2.62	1.04E-03	5.11E-03
cellular response to oxygen-containing compound (GO:1901701)	127	46	17.64	+	2.61	2.07E-10	2.88E-09
regulation of actin polymerization or depolymerization (GO:0008064)	58	21	8.06	+	2.61	1.70E-05	1.25E-04
regulation of organelle organization (GO:0033043)	337	122	46.82	+	2.61	1.93E-25	6.67E-24
chaperone-mediated protein folding (GO:0061077)	47	17	6.53	+	2.60	1.08E-04	6.73E-04
negative regulation of defense response (GO:0031348)	72	26	10.00	+	2.60	1.85E-06	1.66E-05
positive regulation of antimicrobial peptide biosynthetic process (GO:0002807)	36	13	5.00	+	2.60	7.02E-04	3.58E-03
response to wounding (GO:0009611)	108	39	15.00	+	2.60	5.36E-09	6.51E-08
response to organic cyclic compound (GO:0014070)	97	35	13.48	+	2.60	3.31E-08	3.63E-07
programmed cell death involved in cell development (GO:0010623)	61	22	8.47	+	2.60	1.16E-05	8.87E-05
regulation of synapse structure or activity (GO:0050803)	197	71	27.37	+	2.59	3.45E-15	7.04E-14
regulation of terminal button organization (GO:2000331)	25	9	3.47	+	2.59	4.73E-03	1.87E-02
metaphase chromosome alignment (GO:0051310)	25	9	3.47	+	2.59	4.73E-03	1.87E-02
establishment of chromosome localization (GO:0051303)	25	9	3.47	+	2.59	4.73E-03	1.87E-02
NAD catabolic process (GO:0019677)	25	9	3.47	+	2.59	4.73E-03	1.87E-02
long-term memory (GO:0007616)	75	27	10.42	+	2.59	1.27E-06	1.15E-05
negative regulation of cellular component organization (GO:0051129)	150	54	20.84	+	2.59	7.38E-12	1.16E-10
negative regulation of apoptotic process (GO:0043066)	114	41	15.84	+	2.59	2.51E-09	3.14E-08
defense response to Gram-negative bacterium (GO:0050829)	114	41	15.84	+	2.59	2.51E-09	3.14E-08
anatomical structure development (GO:0048856)	2502	897	347.58	+	2.58	1.20E-220	8.84E-217
phototransduction (GO:0007602)	53	19	7.36	+	2.58	4.98E-05	3.31E-04
regulation of protein transport (GO:0051223)	53	19	7.36	+	2.58	4.98E-05	3.31E-04
regulation of neuromuscular junction development (GO:1904396)	120	43	16.67	+	2.58	1.18E-09	1.51E-08
positive regulation of gene expression (GO:0010628)	193	69	26.81	+	2.57	1.35E-14	2.62E-13
negative regulation of response to stimulus (GO:0048585)	431	154	59.87	+	2.57	3.51E-31	1.63E-29
cellular response to insulin stimulus (GO:0032869)	42	15	5.83	+	2.57	3.19E-04	1.74E-03
transcription elongation by RNA polymerase II (GO:0006368)	28	10	3.89	+	2.57	3.15E-03	1.31E-02
larval midgut histolysis (GO:0035069)	28	10	3.89	+	2.57	3.15E-03	1.31E-02
regulation of apoptotic process (GO:0042981)	205	73	28.48	+	2.56	2.92E-15	6.00E-14
hormone metabolic process (GO:0042445)	59	21	8.20	+	2.56	2.30E-05	1.64E-04
negative regulation of signal transduction (GO:0009968)	385	137	53.48	+	2.56	1.33E-27	5.09E-26
post-transcriptional gene silencing (GO:0016441)	45	16	6.25	+	2.56	2.16E-04	1.22E-03
tube formation (GO:0035148)	45	16	6.25	+	2.56	2.16E-04	1.22E-03
regulation of canonical Wnt signaling pathway (GO:0060828)	90	32	12.50	+	2.56	1.88E-07	1.93E-06
regulation of synapse organization (GO:0050807)	166	59	23.06	+	2.56	1.48E-12	2.43E-11
regulation of programmed cell death (GO:0043067)	242	86	33.62	+	2.56	1.10E-17	2.67E-16
positive regulation of RNA biosynthetic process (GO:1902680)	425	151	59.04	+	2.56	2.84E-30	1.24E-28
positive regulation of DNA-templated transcription (GO:0045893)	425	151	59.04	+	2.56	2.84E-30	1.23E-28
spindle organization (GO:0007051)	124	44	17.23	+	2.55	1.08E-09	1.40E-08
response to hypoxia (GO:0001666)	62	22	8.61	+	2.55	1.56E-05	1.15E-04
'de novo' protein folding (GO:0006458)	31	11	4.31	+	2.55	2.11E-03	9.31E-03
negative regulation of autophagy (GO:0010507)	31	11	4.31	+	2.55	2.11E-03	9.30E-03
fluid transport (GO:0042044)	31	11	4.31	+	2.55	2.11E-03	9.30E-03
positive regulation of protein transport (GO:0051222)	31	11	4.31	+	2.55	2.11E-03	9.29E-03
extracellular structure organization (GO:0043062)	79	28	10.97	+	2.55	1.16E-06	1.06E-05
neuron maturation (GO:0042551)	48	17	6.67	+	2.55	1.46E-04	8.85E-04
plasma membrane bounded cell projection organization (GO:0120036)	633	224	87.94	+	2.55	1.34E-44	8.87E-43
phenol-containing compound metabolic process (GO:0018958)	65	23	9.03	+	2.55	1.06E-05	8.16E-05
regulation of cellular component organization (GO:0051128)	705	249	97.94	+	2.54	1.52E-49	1.14E-47
molting cycle (GO:0042303)	85	30	11.81	+	2.54	5.41E-07	5.34E-06
molting cycle, chitin-based cuticle (GO:0007591)	85	30	11.81	+	2.54	5.41E-07	5.34E-06
cell projection organization (GO:0030030)	647	228	89.88	+	2.54	4.59E-45	3.10E-43
response to abiotic stimulus (GO:0009628)	420	148	58.35	+	2.54	3.07E-29	1.27E-27
negative regulation of defense response to bacterium (GO:1900425)	37	13	5.14	+	2.53	9.46E-04	4.66E-03
developmental process (GO:0032502)	2633	923	365.77	+	2.52	1.73E-220	6.37E-217
microtubule organizing center organization (GO:0031023)	80	28	11.11	+	2.52	1.56E-06	1.40E-05
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	40	14	5.56	+	2.52	6.36E-04	3.25E-03
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	60	21	8.34	+	2.52	3.08E-05	2.14E-04
positive regulation of macromolecule biosynthetic process (GO:0010557)	578	202	80.30	+	2.52	3.10E-39	1.73E-37
negative regulation of signaling (GO:0023057)	405	141	56.26	+	2.51	4.68E-27	1.76E-25
regulation of supramolecular fiber organization (GO:1902903)	115	40	15.98	+	2.50	1.18E-08	1.36E-07
mitotic spindle organization (GO:0007052)	69	24	9.59	+	2.50	9.65E-06	7.42E-05
mitotic DNA damage checkpoint signaling (GO:0044773)	23	8	3.20	+	2.50	9.63E-03	3.49E-02
nucleoside monophosphate metabolic process (GO:0009123)	23	8	3.20	+	2.50	9.63E-03	3.49E-02
regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0051896)	23	8	3.20	+	2.50	9.63E-03	3.49E-02
regulation of nervous system process (GO:0031644)	23	8	3.20	+	2.50	9.63E-03	3.49E-02
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	46	16	6.39	+	2.50	2.89E-04	1.58E-03
negative regulation of DNA metabolic process (GO:0051053)	23	8	3.20	+	2.50	9.63E-03	3.49E-02
positive regulation of cellular biosynthetic process (GO:0031328)	593	206	82.38	+	2.50	1.79E-39	1.00E-37
peptidyl-serine phosphorylation (GO:0018105)	49	17	6.81	+	2.50	1.95E-04	1.12E-03
humoral immune response (GO:0006959)	49	17	6.81	+	2.50	1.95E-04	1.12E-03
response to peptide hormone (GO:0043434)	49	17	6.81	+	2.50	1.95E-04	1.12E-03
centrosome cycle (GO:0007098)	75	26	10.42	+	2.50	4.46E-06	3.70E-05
positive regulation of biosynthetic process (GO:0009891)	600	208	83.35	+	2.50	9.54E-40	5.44E-38
negative regulation of cell communication (GO:0010648)	407	141	56.54	+	2.49	6.36E-27	2.38E-25
negative regulation of phosphorus metabolic process (GO:0010563)	26	9	3.61	+	2.49	6.36E-03	2.46E-02
negative regulation of phosphate metabolic process (GO:0045936)	26	9	3.61	+	2.49	6.36E-03	2.46E-02
establishment of protein localization to vacuole (GO:0072666)	26	9	3.61	+	2.49	6.36E-03	2.45E-02
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	78	27	10.84	+	2.49	3.03E-06	2.62E-05
sexual reproduction (GO:0019953)	1155	399	160.45	+	2.49	2.08E-78	3.74E-76
nucleotide-excision repair (GO:0006289)	29	10	4.03	+	2.48	4.22E-03	1.70E-02
epithelial fluid transport (GO:0042045)	29	10	4.03	+	2.48	4.22E-03	1.70E-02
cell-cell adhesion (GO:0098609)	116	40	16.11	+	2.48	1.57E-08	1.78E-07
regulation of establishment of protein localization (GO:0070201)	58	20	8.06	+	2.48	6.03E-05	3.91E-04
detection of light stimulus (GO:0009583)	58	20	8.06	+	2.48	6.03E-05	3.91E-04
regulation of response to external stimulus (GO:0032101)	270	93	37.51	+	2.48	7.37E-18	1.79E-16
regulation of innate immune response (GO:0045088)	151	52	20.98	+	2.48	1.20E-10	1.70E-09
regulation of vesicle-mediated transport (GO:0060627)	125	43	17.36	+	2.48	4.96E-09	6.05E-08
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	503	173	69.88	+	2.48	1.38E-32	6.62E-31
nucleosome organization (GO:0034728)	32	11	4.45	+	2.47	2.81E-03	1.19E-02
negative regulation of innate immune response (GO:0045824)	32	11	4.45	+	2.47	2.81E-03	1.19E-02
regulation of protein polymerization (GO:0032271)	67	23	9.31	+	2.47	1.88E-05	1.37E-04
positive regulation of RNA metabolic process (GO:0051254)	472	162	65.57	+	2.47	2.04E-30	8.97E-29
negative regulation of peptidoglycan recognition protein signaling pathway (GO:0061060)	35	12	4.86	+	2.47	1.88E-03	8.46E-03
regulation of localization (GO:0032879)	391	134	54.32	+	2.47	3.44E-25	1.18E-23
cellular response to organonitrogen compound (GO:0071417)	73	25	10.14	+	2.47	8.67E-06	6.84E-05
cellular response to heat (GO:0034605)	38	13	5.28	+	2.46	1.26E-03	6.06E-03
L-amino acid catabolic process (GO:0170035)	41	14	5.70	+	2.46	8.44E-04	4.23E-03
regulation of hippo signaling (GO:0035330)	82	28	11.39	+	2.46	2.72E-06	2.37E-05
positive regulation of smoothened signaling pathway (GO:0045880)	41	14	5.70	+	2.46	8.44E-04	4.23E-03
cytoskeleton organization (GO:0007010)	586	200	81.41	+	2.46	4.92E-37	2.62E-35
positive regulation of cellular metabolic process (GO:0031325)	698	238	96.97	+	2.45	3.27E-44	2.13E-42
NAD metabolic process (GO:0019674)	44	15	6.11	+	2.45	5.67E-04	2.91E-03
positive regulation of programmed cell death (GO:0043068)	91	31	12.64	+	2.45	8.58E-07	8.16E-06
response to insulin (GO:0032868)	47	16	6.53	+	2.45	3.82E-04	2.03E-03
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	47	16	6.53	+	2.45	3.82E-04	2.03E-03
peptidyl-serine modification (GO:0018209)	50	17	6.95	+	2.45	2.58E-04	1.44E-03
positive regulation of endocytosis (GO:0045807)	50	17	6.95	+	2.45	2.58E-04	1.44E-03
regulation of dendrite development (GO:0050773)	50	17	6.95	+	2.45	2.58E-04	1.44E-03
reproductive process (GO:0022414)	1433	487	199.07	+	2.45	5.28E-95	1.29E-92
larval behavior (GO:0030537)	53	18	7.36	+	2.44	1.74E-04	1.02E-03
positive regulation of protein localization (GO:1903829)	53	18	7.36	+	2.44	1.74E-04	1.02E-03
regulation of RNA splicing (GO:0043484)	106	36	14.73	+	2.44	1.26E-07	1.31E-06
regulation of protein modification process (GO:0031399)	109	37	15.14	+	2.44	8.56E-08	9.02E-07
establishment of vesicle localization (GO:0051650)	56	19	7.78	+	2.44	1.18E-04	7.25E-04
protein-DNA complex organization (GO:0071824)	345	117	47.93	+	2.44	1.08E-21	3.07E-20
cell adhesion (GO:0007155)	177	60	24.59	+	2.44	1.23E-11	1.91E-10
negative regulation of translation (GO:0017148)	59	20	8.20	+	2.44	7.95E-05	5.08E-04
pyridine-containing compound metabolic process (GO:0072524)	62	21	8.61	+	2.44	5.38E-05	3.55E-04
regulation of cellular response to growth factor stimulus (GO:0090287)	68	23	9.45	+	2.43	2.47E-05	1.76E-04
recombinational repair (GO:0000725)	71	24	9.86	+	2.43	1.68E-05	1.24E-04
double-strand break repair via homologous recombination (GO:0000724)	71	24	9.86	+	2.43	1.68E-05	1.23E-04
import into cell (GO:0098657)	228	77	31.67	+	2.43	1.50E-14	2.91E-13
DNA metabolic process (GO:0006259)	305	103	42.37	+	2.43	4.48E-19	1.15E-17
wound healing (GO:0042060)	80	27	11.11	+	2.43	5.25E-06	4.32E-05
locomotory behavior (GO:0007626)	172	58	23.89	+	2.43	3.28E-11	4.91E-10
positive regulation of transport (GO:0051050)	128	43	17.78	+	2.42	1.56E-08	1.78E-07
positive regulation of cellular process (GO:0048522)	1479	496	205.46	+	2.41	1.51E-94	3.59E-92
DNA-templated transcription (GO:0006351)	170	57	23.62	+	2.41	5.97E-11	8.75E-10
regulation of immune response (GO:0050776)	203	68	28.20	+	2.41	8.10E-13	1.36E-11
proteinogenic amino acid catabolic process (GO:0170040)	39	13	5.42	+	2.40	1.65E-03	7.74E-03
positive regulation of antimicrobial peptide production (GO:0002225)	57	19	7.92	+	2.40	1.54E-04	9.29E-04
anatomical structure regression (GO:0060033)	39	13	5.42	+	2.40	1.65E-03	7.73E-03
positive regulation of proteolysis involved in protein catabolic process (GO:1903052)	51	17	7.08	+	2.40	3.37E-04	1.84E-03
organelle localization (GO:0051640)	219	73	30.42	+	2.40	1.48E-13	2.65E-12
liquid clearance, open tracheal system (GO:0035002)	24	8	3.33	+	2.40	1.27E-02	4.51E-02
positive regulation of proteasomal protein catabolic process (GO:1901800)	45	15	6.25	+	2.40	7.43E-04	3.78E-03
secondary metabolic process (GO:0019748)	72	24	10.00	+	2.40	2.19E-05	1.56E-04
cellular response to nitrogen compound (GO:1901699)	78	26	10.84	+	2.40	1.01E-05	7.74E-05
positive regulation of production of molecular mediator of immune response (GO:0002702)	57	19	7.92	+	2.40	1.54E-04	9.28E-04
regulation of response to stress (GO:0080134)	285	95	39.59	+	2.40	3.78E-17	9.01E-16
positive regulation of immune effector process (GO:0002699)	57	19	7.92	+	2.40	1.54E-04	9.27E-04
positive regulation of TOR signaling (GO:0032008)	36	12	5.00	+	2.40	2.47E-03	1.08E-02
negative regulation of Notch signaling pathway (GO:0045746)	39	13	5.42	+	2.40	1.65E-03	7.73E-03
synaptic assembly at neuromuscular junction (GO:0051124)	36	12	5.00	+	2.40	2.47E-03	1.07E-02
regeneration (GO:0031099)	30	10	4.17	+	2.40	5.56E-03	2.16E-02
transepithelial transport (GO:0070633)	30	10	4.17	+	2.40	5.56E-03	2.16E-02
protein localization to vacuole (GO:0072665)	27	9	3.75	+	2.40	8.39E-03	3.17E-02
regulation of system process (GO:0044057)	66	22	9.17	+	2.40	4.76E-05	3.17E-04
positive regulation of protein catabolic process (GO:0045732)	60	20	8.34	+	2.40	1.04E-04	6.46E-04
hexose biosynthetic process (GO:0019319)	30	10	4.17	+	2.40	5.56E-03	2.16E-02
immune system process (GO:0002376)	287	95	39.87	+	2.38	5.51E-17	1.29E-15
courtship behavior (GO:0007619)	97	32	13.48	+	2.37	1.76E-06	1.59E-05
signal transduction (GO:0007165)	956	315	132.81	+	2.37	2.25E-55	2.27E-53
spindle assembly (GO:0051225)	70	23	9.72	+	2.37	6.94E-05	4.48E-04
regulation of response to biotic stimulus (GO:0002831)	207	68	28.76	+	2.36	3.11E-12	4.99E-11
positive regulation of macromolecule metabolic process (GO:0010604)	757	248	105.16	+	2.36	1.78E-42	1.08E-40
positive regulation of protein modification process (GO:0031401)	52	17	7.22	+	2.35	4.37E-04	2.27E-03
melanization defense response (GO:0035006)	46	15	6.39	+	2.35	9.63E-04	4.74E-03
regulation of TORC1 signaling (GO:1903432)	43	14	5.97	+	2.34	1.43E-03	6.83E-03
amino acid biosynthetic process (GO:0008652)	43	14	5.97	+	2.34	1.43E-03	6.82E-03
axo-dendritic transport (GO:0008088)	43	14	5.97	+	2.34	1.43E-03	6.82E-03
signal release (GO:0023061)	83	27	11.53	+	2.34	1.53E-05	1.13E-04
DNA damage response (GO:0006974)	246	80	34.17	+	2.34	4.77E-14	8.81E-13
regulation of antibacterial peptide production (GO:0002786)	40	13	5.56	+	2.34	2.14E-03	9.42E-03
negative regulation of cellular process (GO:0048523)	1319	428	183.23	+	2.34	8.02E-75	1.28E-72
exocytic process (GO:0140029)	37	12	5.14	+	2.33	3.20E-03	1.33E-02
larval locomotory behavior (GO:0008345)	37	12	5.14	+	2.33	3.20E-03	1.33E-02
regulation of endocytosis (GO:0030100)	74	24	10.28	+	2.33	5.16E-05	3.41E-04
regulation of response to stimulus (GO:0048583)	996	323	138.36	+	2.33	4.28E-55	4.15E-53
positive regulation of establishment of protein localization (GO:1904951)	34	11	4.72	+	2.33	4.79E-03	1.89E-02
lumen formation, open tracheal system (GO:0035149)	34	11	4.72	+	2.33	4.79E-03	1.89E-02
sensory perception of sound (GO:0007605)	68	22	9.45	+	2.33	1.17E-04	7.20E-04
positive regulation of metabolic process (GO:0009893)	845	273	117.39	+	2.33	1.27E-45	8.71E-44
regulation of hormone levels (GO:0010817)	96	31	13.34	+	2.32	3.69E-06	3.15E-05
response to UV (GO:0009411)	31	10	4.31	+	2.32	7.20E-03	2.75E-02
positive regulation of humoral immune response (GO:0002922)	59	19	8.20	+	2.32	4.00E-04	2.12E-03
positive regulation of antimicrobial humoral response (GO:0002760)	59	19	8.20	+	2.32	4.00E-04	2.12E-03
positive regulation of catalytic activity (GO:0043085)	87	28	12.09	+	2.32	1.21E-05	9.24E-05
positive regulation of innate immune response (GO:0045089)	84	27	11.67	+	2.31	1.80E-05	1.31E-04
retrotransposon silencing (GO:0010526)	28	9	3.89	+	2.31	1.09E-02	3.91E-02
regulation of proteasomal protein catabolic process (GO:0061136)	56	18	7.78	+	2.31	6.05E-04	3.09E-03
regulation of heart contraction (GO:0008016)	28	9	3.89	+	2.31	1.09E-02	3.91E-02
negative regulation of immune response (GO:0050777)	56	18	7.78	+	2.31	6.05E-04	3.09E-03
regulation of blood circulation (GO:1903522)	28	9	3.89	+	2.31	1.09E-02	3.91E-02
regulation of translation (GO:0006417)	137	44	19.03	+	2.31	3.61E-08	3.96E-07
chromatin remodeling (GO:0006338)	246	79	34.17	+	2.31	2.01E-13	3.55E-12
male courtship behavior (GO:0008049)	81	26	11.25	+	2.31	2.68E-05	1.89E-04
regulation of defense response (GO:0031347)	212	68	29.45	+	2.31	7.87E-12	1.23E-10
regulation of protein catabolic process (GO:0042176)	78	25	10.84	+	2.31	4.00E-05	2.75E-04
multicellular organismal process (GO:0032501)	2907	928	403.84	+	2.30	8.94E-187	1.64E-183
chromatin organization (GO:0006325)	307	98	42.65	+	2.30	3.86E-16	8.42E-15
defense response to virus (GO:0051607)	47	15	6.53	+	2.30	1.23E-03	5.96E-03
regulation of signal transduction (GO:0009966)	796	254	110.58	+	2.30	3.19E-41	1.89E-39
positive regulation of biological process (GO:0048518)	1673	533	232.41	+	2.29	1.38E-92	3.18E-90
male mating behavior (GO:0060179)	88	28	12.22	+	2.29	1.45E-05	1.10E-04
pyruvate metabolic process (GO:0006090)	44	14	6.11	+	2.29	1.84E-03	8.29E-03
alcohol biosynthetic process (GO:0046165)	44	14	6.11	+	2.29	1.84E-03	8.29E-03
sensory perception of mechanical stimulus (GO:0050954)	85	27	11.81	+	2.29	2.15E-05	1.54E-04
DNA recombination (GO:0006310)	104	33	14.45	+	2.28	2.53E-06	2.22E-05
encapsulation of foreign target (GO:0035010)	41	13	5.70	+	2.28	2.74E-03	1.16E-02
feeding behavior (GO:0007631)	41	13	5.70	+	2.28	2.74E-03	1.16E-02
regulation of antimicrobial humoral response (GO:0002759)	82	26	11.39	+	2.28	3.20E-05	2.22E-04
negative regulation of biological process (GO:0048519)	1445	458	200.74	+	2.28	6.57E-77	1.10E-74
vesicle localization (GO:0051648)	60	19	8.34	+	2.28	4.50E-04	2.34E-03
negative regulation of cellular metabolic process (GO:0031324)	679	215	94.33	+	2.28	2.33E-34	1.17E-32
signaling (GO:0023052)	1172	371	162.81	+	2.28	8.84E-61	1.03E-58
neurotransmitter secretion (GO:0007269)	79	25	10.97	+	2.28	4.75E-05	3.17E-04
signal release from synapse (GO:0099643)	79	25	10.97	+	2.28	4.75E-05	3.16E-04
synaptic vesicle cycle (GO:0099504)	98	31	13.61	+	2.28	5.49E-06	4.50E-05
vesicle organization (GO:0016050)	117	37	16.25	+	2.28	6.71E-07	6.56E-06
positive regulation of immune system process (GO:0002684)	136	43	18.89	+	2.28	1.13E-07	1.18E-06
negative regulation of cellular biosynthetic process (GO:0031327)	614	194	85.30	+	2.27	1.05E-30	4.75E-29
ribonucleotide catabolic process (GO:0009261)	38	12	5.28	+	2.27	4.09E-03	1.66E-02
purine ribonucleotide catabolic process (GO:0009154)	38	12	5.28	+	2.27	4.09E-03	1.66E-02
regulation of antibacterial peptide biosynthetic process (GO:0002808)	38	12	5.28	+	2.27	4.09E-03	1.65E-02
cellular response to chemical stimulus (GO:0070887)	263	83	36.54	+	2.27	1.03E-13	1.86E-12
cell communication (GO:0007154)	1190	375	165.31	+	2.27	7.11E-61	8.43E-59
eye photoreceptor cell development (GO:0042462)	89	28	12.36	+	2.26	1.77E-05	1.30E-04
telomere organization (GO:0032200)	35	11	4.86	+	2.26	6.12E-03	2.37E-02
response to external stimulus (GO:0009605)	602	189	83.63	+	2.26	1.26E-29	5.26E-28
melanin metabolic process (GO:0006582)	51	16	7.08	+	2.26	1.54E-03	7.30E-03
positive regulation of canonical Wnt signaling pathway (GO:0090263)	51	16	7.08	+	2.26	1.54E-03	7.30E-03
negative regulation of MAPK cascade (GO:0043409)	51	16	7.08	+	2.26	1.54E-03	7.29E-03
positive regulation of molecular function (GO:0044093)	99	31	13.75	+	2.25	6.78E-06	5.51E-05
vesicle-mediated transport in synapse (GO:0099003)	99	31	13.75	+	2.25	6.78E-06	5.50E-05
negative regulation of macromolecule biosynthetic process (GO:0010558)	607	190	84.32	+	2.25	1.22E-29	5.15E-28
cell-cell signaling (GO:0007267)	278	87	38.62	+	2.25	5.17E-14	9.52E-13
negative regulation of biosynthetic process (GO:0009890)	620	194	86.13	+	2.25	4.86E-30	2.09E-28
positive regulation of intracellular signal transduction (GO:1902533)	211	66	29.31	+	2.25	6.16E-11	8.99E-10
lysosomal transport (GO:0007041)	32	10	4.45	+	2.25	9.20E-03	3.42E-02
regulation of mitochondrion organization (GO:0010821)	48	15	6.67	+	2.25	2.32E-03	1.02E-02
monosaccharide biosynthetic process (GO:0046364)	32	10	4.45	+	2.25	9.20E-03	3.42E-02
behavior (GO:0007610)	544	170	75.57	+	2.25	2.60E-26	9.42E-25
cellular response to decreased oxygen levels (GO:0036294)	32	10	4.45	+	2.25	9.20E-03	3.41E-02
positive regulation of immune response (GO:0050778)	125	39	17.36	+	2.25	6.29E-07	6.17E-06
regulation of mRNA splicing, via spliceosome (GO:0048024)	93	29	12.92	+	2.24	1.47E-05	1.11E-04
DNA repair (GO:0006281)	186	58	25.84	+	2.24	1.21E-09	1.55E-08
protein polymerization (GO:0051258)	45	14	6.25	+	2.24	3.51E-03	1.45E-02
positive regulation of translation (GO:0045727)	45	14	6.25	+	2.24	3.51E-03	1.45E-02
positive regulation of cellular catabolic process (GO:0031331)	58	18	8.06	+	2.23	7.77E-04	3.94E-03
steroid biosynthetic process (GO:0006694)	29	9	4.03	+	2.23	1.39E-02	4.90E-02
regulation of defense response to bacterium (GO:1900424)	87	27	12.09	+	2.23	3.19E-05	2.22E-04
compound eye photoreceptor development (GO:0042051)	87	27	12.09	+	2.23	3.19E-05	2.21E-04
positive regulation of TORC1 signaling (GO:1904263)	29	9	4.03	+	2.23	1.39E-02	4.90E-02
regulation of cellular response to stress (GO:0080135)	58	18	8.06	+	2.23	7.77E-04	3.94E-03
regulation of mRNA processing (GO:0050684)	100	31	13.89	+	2.23	1.33E-05	1.01E-04
immune effector process (GO:0002252)	42	13	5.83	+	2.23	5.32E-03	2.08E-02
positive regulation of small GTPase mediated signal transduction (GO:0051057)	42	13	5.83	+	2.23	5.32E-03	2.07E-02
regulation of catalytic activity (GO:0050790)	139	43	19.31	+	2.23	1.86E-07	1.90E-06
adult locomotory behavior (GO:0008344)	81	25	11.25	+	2.22	6.94E-05	4.48E-04
homeostatic process (GO:0042592)	457	141	63.49	+	2.22	1.83E-21	5.19E-20
regulation of protein-containing complex assembly (GO:0043254)	94	29	13.06	+	2.22	2.95E-05	2.05E-04
regulation of signaling (GO:0023051)	934	288	129.75	+	2.22	6.91E-44	4.38E-42
regulation of cell communication (GO:0010646)	938	289	130.31	+	2.22	5.45E-44	3.49E-42
proteinogenic amino acid metabolic process (GO:0170039)	78	24	10.84	+	2.21	1.03E-04	6.39E-04
regulation of cellular catabolic process (GO:0031329)	130	40	18.06	+	2.21	5.90E-07	5.80E-06
alpha-amino acid biosynthetic process (GO:1901607)	39	12	5.42	+	2.21	8.08E-03	3.06E-02
regulation of antimicrobial peptide production (GO:0002784)	75	23	10.42	+	2.21	1.51E-04	9.17E-04
extracellular matrix organization (GO:0030198)	62	19	8.61	+	2.21	6.11E-04	3.12E-03
positive regulation of protein metabolic process (GO:0051247)	173	53	24.03	+	2.21	1.12E-08	1.31E-07
regulation of humoral immune response (GO:0002920)	85	26	11.81	+	2.20	5.76E-05	3.79E-04
proteinogenic amino acid biosynthetic process (GO:0170038)	36	11	5.00	+	2.20	1.23E-02	4.36E-02
L-amino acid biosynthetic process (GO:0170034)	36	11	5.00	+	2.20	1.23E-02	4.36E-02
regulation of G protein-coupled receptor signaling pathway (GO:0008277)	36	11	5.00	+	2.20	1.23E-02	4.36E-02
exocytosis (GO:0006887)	95	29	13.20	+	2.20	3.23E-05	2.24E-04
male gamete generation (GO:0048232)	312	95	43.34	+	2.19	2.88E-14	5.41E-13
regulation of biological quality (GO:0065008)	886	269	123.08	+	2.19	1.53E-39	8.68E-38
negative regulation of macromolecule metabolic process (GO:0010605)	695	211	96.55	+	2.19	7.75E-31	3.54E-29
positive regulation of Wnt signaling pathway (GO:0030177)	56	17	7.78	+	2.19	1.36E-03	6.52E-03
regulation of molecular function (GO:0065009)	165	50	22.92	+	2.18	4.18E-08	4.55E-07
regulation of production of molecular mediator of immune response (GO:0002700)	76	23	10.56	+	2.18	1.84E-04	1.07E-03
microtubule cytoskeleton organization (GO:0000226)	347	105	48.20	+	2.18	1.98E-15	4.14E-14
endocytic recycling (GO:0032456)	43	13	5.97	+	2.18	5.95E-03	2.30E-02
regulation of antimicrobial peptide biosynthetic process (GO:0002805)	43	13	5.97	+	2.18	5.95E-03	2.30E-02
double-strand break repair (GO:0006302)	96	29	13.34	+	2.17	3.62E-05	2.50E-04
regulation of pattern recognition receptor signaling pathway (GO:0062207)	53	16	7.36	+	2.17	2.02E-03	8.96E-03
alpha-amino acid catabolic process (GO:1901606)	53	16	7.36	+	2.17	2.02E-03	8.96E-03
spermatogenesis (GO:0007283)	272	82	37.79	+	2.17	2.38E-12	3.86E-11
nucleoside phosphate biosynthetic process (GO:1901293)	123	37	17.09	+	2.17	2.70E-06	2.35E-05
positive regulation of signal transduction (GO:0009967)	423	127	58.76	+	2.16	2.47E-18	6.09E-17
regulation of macroautophagy (GO:0016241)	40	12	5.56	+	2.16	8.97E-03	3.39E-02
purine nucleotide catabolic process (GO:0006195)	40	12	5.56	+	2.16	8.97E-03	3.39E-02
